id,x,y,z,type,excitation_type
244,4.7,-357.7782,-1.91049,SMDVL,3
245,-8.900001,-357.7782,-1.91049,SMDVR,3
246,5.0,-372.3409,-2.837839,URADL,3
247,-9.3,-372.3409,-2.837839,URADR,3
248,0.325,-364.199,5.961356,URAVL,3
249,-4.575,-364.199,5.961356,URAVR,3
250,5.05,-366.5282,0.2346757,URBL,3
251,-9.325,-366.5282,0.2346757,URBR,3
252,3.05,-357.3484,-3.810877,URXL,3
253,-7.35,-357.3484,-3.810877,URXR,3
254,4.125,-369.2165,-3.468794,URYDL,3
255,-8.4,-369.2165,-3.468794,URYDR,3
256,3.4,-366.7765,2.62821,URYVL,3
257,-7.7,-366.7765,2.62821,URYVR,3
258,-1.35,-310.1172,14.15508,VA1,3
259,-1.85,214.6142,24.59182,VA10,3
260,-1.55,269.3405,17.2658,VA11,3
261,-0.1,315.2812,13.46623,VA12,3
262,-1.85,-286.0942,18.82491,VA2,3
263,-1.475,-246.2157,21.83476,VA3,3
264,-1.85,-177.5186,21.17139,VA4,3
265,-1.85,-123.0652,22.72943,VA5,3
266,-1.85,-50.70242,28.63091,VA6,3
267,-1.85,42.05512,23.24641,VA7,3
268,-1.8,104.541,24.05912,VA8,3
269,-1.8,167.3024,24.12107,VA9,3
270,-1.55,-322.1651,15.2271,VB1,3
271,-1.85,176.8435,24.0971,VB10,3
272,-1.825,222.2047,23.3884,VB11,3
273,-2.0,-330.0621,15.30764,VB2,3
274,-1.85,-277.7111,19.56108,VB3,3
275,-2.0,-233.3691,22.62274,VB4,3
276,-1.85,-168.4284,21.29531,VB5,3
277,-1.85,-107.7866,24.04079,VB6,3
278,-9.675,-25.00219,23.37727,VB7,3
279,-1.825,55.26069,24.12099,VB8,3
280,-1.85,114.4475,22.90145,VB9,3
281,-0.725,-229.4929,22.98727,VC1,3
282,-0.625,-164.6764,21.37517,VC2,3
283,-1.45,-79.87515,27.28084,VC3,3
284,-1.15,-22.75858,24.36292,VC4,3
285,-1.15,3.734544,24.25827,VC5,3
286,-0.7,-300.1819,17.51911,VD1,3
287,-0.75,195.5521,24.5615,VD10,3
288,-0.8,243.4046,21.0578,VD11,3
289,-0.75,298.3571,15.07416,VD12,3
290,-0.75,333.4729,10.32656,VD13,3
291,-0.65,-297.0719,17.75355,VD2,3
292,-0.8,-251.1349,21.29649,VD3,3
293,-0.8,-194.1992,22.59398,VD4,3
294,-0.75,-134.725,21.43905,VD5,3
295,-0.7,-74.90904,27.79582,VD6,3
296,-12.35,-5.144012,21.98411,VD7,3
297,-0.75,87.20349,24.84488,VD8,3
298,-0.8,148.8379,23.23193,VD9,3
