pre_id,post_id,pre_class_label,post_class_label,syn_num,excitation_type
4522237537,4666669851,UNKNOWN,DENDRITE,1,0
4522237537,3327452280,UNKNOWN,DENDRITE,1,1
4522237537,4345755033,UNKNOWN,DENDRITE,1,1
4522237537,4595781587,UNKNOWN,DENDRITE,1,1
4522237537,4724636756,UNKNOWN,DENDRITE,1,1
4522237537,5059509351,UNKNOWN,DENDRITE,1,1
4522237537,4958032901,UNKNOWN,DENDRITE,1,1
4522237537,3327363745,UNKNOWN,DENDRITE,1,1
4522237537,3910936874,UNKNOWN,DENDRITE,1,1
4522237537,4376869265,UNKNOWN,DENDRITE,1,0
4522237537,4492917543,UNKNOWN,DENDRITE,1,1
4522237537,3969034166,UNKNOWN,DENDRITE,1,1
28974664659,28654757106,UNKNOWN,DENDRITE,1,0
4648726505,31244738917,UNKNOWN,DENDRITE,1,1
4648726505,4124256877,UNKNOWN,DENDRITE,1,1
33332099975,59463727176,UNKNOWN,DENDRITE,1,1
33332099975,31965826324,UNKNOWN,DENDRITE,1,0
33332099975,59463727176,UNKNOWN,DENDRITE,1,1
33332099975,6213032571,UNKNOWN,DENDRITE,1,1
3184318928,4130987931,UNKNOWN,DENDRITE,1,1
3184318928,3622026790,UNKNOWN,DENDRITE,1,1
3184318928,3069115613,UNKNOWN,DENDRITE,1,0
3184318928,2951636766,UNKNOWN,DENDRITE,1,0
37738008459,29120295093,UNKNOWN,AIS,1,0
37738008459,29091458117,UNKNOWN,AIS,1,0
37738008459,29120295093,UNKNOWN,AIS,1,0
37738008459,28974620445,UNKNOWN,DENDRITE,1,1
37738008459,28567646864,UNKNOWN,DENDRITE,1,0
37738008459,29265458262,UNKNOWN,DENDRITE,1,0
37738008459,29091458117,UNKNOWN,AIS,1,0
37738008459,29338331862,UNKNOWN,DENDRITE,1,0
37738008459,29265458262,UNKNOWN,DENDRITE,1,0
37738008459,3004476990,UNKNOWN,DENDRITE,1,0
37738008459,29091458117,UNKNOWN,AIS,1,0
37738008459,29338331862,UNKNOWN,DENDRITE,1,0
37738008459,29091458117,UNKNOWN,AIS,1,0
37738008459,29338331862,UNKNOWN,DENDRITE,1,0
37738008459,29265458262,UNKNOWN,DENDRITE,1,0
37738008459,29091458117,UNKNOWN,AIS,1,0
37738008459,29338331862,UNKNOWN,DENDRITE,1,0
37738008459,29265458262,UNKNOWN,DENDRITE,1,0
37738008459,29265458262,UNKNOWN,DENDRITE,1,0
37738008459,29120295093,UNKNOWN,AIS,1,0
37738008459,29265458262,UNKNOWN,AIS,1,0
37738008459,29265458262,UNKNOWN,AIS,1,0
37738008459,29338331862,UNKNOWN,DENDRITE,1,0
32430005210,4800503033,UNKNOWN,DENDRITE,1,0
32430005210,32400788503,UNKNOWN,DENDRITE,1,0
32430005210,5397873426,UNKNOWN,DENDRITE,1,1
32430005210,41803496189,UNKNOWN,DENDRITE,1,1
32430005210,32444357870,UNKNOWN,DENDRITE,1,1
32430005210,41179100049,UNKNOWN,DENDRITE,1,0
32430005210,41440369640,UNKNOWN,DENDRITE,1,1
32430005210,42036660417,UNKNOWN,DENDRITE,1,0
32430005210,49942561104,UNKNOWN,DENDRITE,1,1
32430005210,32444357870,UNKNOWN,DENDRITE,1,1
32430005210,41222857324,UNKNOWN,DENDRITE,1,1
32430005210,4552942229,UNKNOWN,DENDRITE,1,0
32430005210,6441334087,UNKNOWN,DENDRITE,1,0
31367593179,4408129735,UNKNOWN,DENDRITE,1,0
31367593179,5934357455,UNKNOWN,DENDRITE,1,0
31367593179,4783594483,UNKNOWN,DENDRITE,1,0
31367593179,22677544455,UNKNOWN,DENDRITE,1,0
31367593179,5324006443,UNKNOWN,DENDRITE,1,0
31367593179,40581992226,UNKNOWN,DENDRITE,1,0
31367593179,5149174501,UNKNOWN,DENDRITE,1,0
31367593179,31512594814,UNKNOWN,DENDRITE,1,1
31367593179,5251512722,UNKNOWN,DENDRITE,1,0
31367593179,31512594814,UNKNOWN,DENDRITE,1,0
31367593179,4304827472,UNKNOWN,DENDRITE,1,0
31367593179,40043667040,UNKNOWN,DENDRITE,1,1
31367593179,40116614287,UNKNOWN,DENDRITE,1,0
31367593179,5324737402,UNKNOWN,DENDRITE,1,0
31367593179,5264902341,UNKNOWN,DENDRITE,1,0
31367593179,40538144824,UNKNOWN,DENDRITE,1,1
31367593179,40581992226,UNKNOWN,DENDRITE,1,0
31367593179,5440259647,UNKNOWN,DENDRITE,1,0
31367593179,4844277120,UNKNOWN,DENDRITE,1,0
31367593179,32197527988,UNKNOWN,DENDRITE,1,0
31367593179,4960339960,UNKNOWN,DENDRITE,1,0
31367593179,5339936130,UNKNOWN,DENDRITE,1,0
5890292881,32777596102,UNKNOWN,DENDRITE,1,1
5890292881,41847036408,UNKNOWN,DENDRITE,1,1
58896201019,33374997143,UNKNOWN,DENDRITE,1,1
58896201019,41849211193,UNKNOWN,DENDRITE,1,1
40626086435,4684716300,UNKNOWN,DENDRITE,1,0
5626978066,40360187433,UNKNOWN,DENDRITE,1,0
5626978066,41539335959,UNKNOWN,DENDRITE,1,1
5626978066,6064058625,UNKNOWN,DENDRITE,1,1
5626978066,32732918048,UNKNOWN,DENDRITE,1,0
5626978066,3722904688,UNKNOWN,DENDRITE,1,1
29879677414,5233481601,UNKNOWN,DENDRITE,1,1
29879677414,3982671918,UNKNOWN,DENDRITE,1,1
29879677414,3982671918,UNKNOWN,DENDRITE,1,1
29879677414,3530638666,UNKNOWN,DENDRITE,1,1
29879677414,3327918332,UNKNOWN,DENDRITE,1,1
29879677414,4577632758,UNKNOWN,DENDRITE,1,0
29879677414,3677496614,UNKNOWN,DENDRITE,1,1
29879677414,4113014942,UNKNOWN,DENDRITE,1,1
29879677414,3137828468,UNKNOWN,DENDRITE,1,1
29879677414,4272486557,UNKNOWN,DENDRITE,1,1
29879677414,3982671918,UNKNOWN,DENDRITE,1,1
29879677414,3677496614,UNKNOWN,DENDRITE,1,1
29879677414,38992234739,UNKNOWN,DENDRITE,1,1
59274600612,41995120012,UNKNOWN,DENDRITE,1,1
59274600612,41995120012,UNKNOWN,DENDRITE,1,1
59274600612,41877319818,UNKNOWN,DENDRITE,1,1
59274600612,42139566537,UNKNOWN,DENDRITE,1,0
59274600612,41995120012,UNKNOWN,DENDRITE,1,1
59274600612,41819250669,UNKNOWN,DENDRITE,1,1
59274600612,41280517911,UNKNOWN,DENDRITE,1,1
