id,x,y,z,type,excitation_type,layer
5570704942,356894,198949,1280,INTERNEURON,0,3
3371182357,282637,157623,1152,INTERNEURON,0,4
3329042615,356703,134265,1664,PYRAMIDAL,1,2
6616501585,274557,236557,1408,INTERNEURON,0,5
32515274788,319860,224276,4736,PYRAMIDAL,1,4
37871666280,306953,105061,5248,INTERNEURON,0,3
2714457325,271532,124117,3072,INTERNEURON,0,3
37286998616,236361,93046,3328,INTERNEURON,0,3
5978614128,323752,222617,384,PYRAMIDAL,1,4
4866923326,197120,168790,2304,INTERNEURON,0,5
401951093,313155,51848,896,PYRAMIDAL,1,2
2702762854,342028,123001,256,INTERNEURON,0,3
32517012434,387817,228616,3840,PYRAMIDAL,1,3
29788889666,205433,135067,2304,INTERNEURON,0,4
4447640900,266504,177663,2688,PYRAMIDAL,1,4
6007845483,344097,209958,4992,PYRAMIDAL,1,3
55662502384,364906,119501,4864,INTERNEURON,0,2
29499089105,260564,130580,3968,PYRAMIDAL,1,4
3446873213,394802,141240,1024,PYRAMIDAL,1,2
30912172566,271395,166206,4480,PYRAMIDAL,1,4
5513280716,356591,188930,3840,PYRAMIDAL,1,3
27375898647,307569,65337,3712,PYRAMIDAL,1,2
2134783019,339495,105163,2688,PYRAMIDAL,1,2
2746740149,355033,121020,1792,PYRAMIDAL,1,2
30928496018,301202,187056,2688,PYRAMIDAL,1,4
5293373675,337562,208050,4352,PYRAMIDAL,1,4
3402661083,390267,148156,1024,PYRAMIDAL,1,2
5884846255,199049,230152,1152,PYRAMIDAL,1,6
32180430283,322630,203991,2304,INTERNEURON,0,4
6253695915,313027,222215,1792,PYRAMIDAL,1,4
1855509931,238713,130731,1792,PYRAMIDAL,1,4
4884852207,312899,195610,1920,PYRAMIDAL,1,4
40604009804,181657,181423,4480,INTERNEURON,0,5
4606922484,248554,184361,512,PYRAMIDAL,1,5
4258892948,290507,175386,1152,PYRAMIDAL,1,4
38652965088,160471,137902,2304,PYRAMIDAL,1,5
64509482080,250999,114565,4736,PYRAMIDAL,1,3
5221771550,367490,178056,3200,INTERNEURON,0,3
5756210897,250401,216160,3456,PYRAMIDAL,1,5
36634129507,300583,67298,3200,INTERNEURON,0,2
19111191826,419275,76158,1408,INTERNEURON,0,1
3111342060,377182,129590,128,INTERNEURON,0,2
39728532886,114730,164027,2560,PYRAMIDAL,1,6
604627510,288657,52376,256,PYRAMIDAL,1,0
4113656620,285865,176454,384,PYRAMIDAL,1,4
3268507187,281142,151875,512,PYRAMIDAL,1,4
2061778577,333602,94068,1536,INTERNEURON,0,2
45483079665,247329,72830,2688,INTERNEURON,0,0
3912485454,395562,178409,2304,PYRAMIDAL,1,2
35788992949,275340,52236,2304,PYRAMIDAL,1,0
2106691359,373767,113626,1024,PYRAMIDAL,1,2
4913002946,283422,190723,2560,PYRAMIDAL,1,4
3196538891,284868,152219,1024,PYRAMIDAL,1,4
5355296383,426450,207955,768,PYRAMIDAL,1,2
37845137045,377909,126841,3456,PYRAMIDAL,1,2
24293903318,428274,234685,1281,PYRAMIDAL,1,2
33290922458,449796,236290,1408,INTERNEURON,0,2
3473710583,336212,145958,1792,PYRAMIDAL,1,3
42408022404,150724,248934,3200,INTERNEURON,0,7
3229288910,410688,149626,1152,PYRAMIDAL,1,2
28177143281,329356,71455,4736,PYRAMIDAL,1,2
40782770461,291371,200226,2304,PYRAMIDAL,1,4
37088455260,395564,93723,3328,INTERNEURON,0,1
3297606972,301446,137074,3328,PYRAMIDAL,1,3
459698247,308567,55679,256,PYRAMIDAL,1,2
40754328355,313791,198828,3072,INTERNEURON,0,4
29482660437,184398,128084,1664,PYRAMIDAL,1,4
29033375099,248700,108761,4096,PYRAMIDAL,1,3
2396871483,343834,99759,4992,PYRAMIDAL,1,2
1685612723,403472,88692,128,INTERNEURON,0,1
42447064261,439435,246392,2176,PYRAMIDAL,1,2
22609211259,113198,182031,1280,PYRAMIDAL,1,6
37073838900,390047,78785,3840,INTERNEURON,0,1
4215178291,298056,185752,1152,PYRAMIDAL,1,4
28224944968,446603,85025,1920,INTERNEURON,0,1
89446706153,274121,66163,4992,INTERNEURON,0,2
99567008676,362249,106417,5248,INTERNEURON,0,2
5820192316,411162,210000,3200,PYRAMIDAL,1,2
4213717297,212060,193060,3968,PYRAMIDAL,1,5
53581801123,393779,52039,2944,INTERNEURON,0,1
4947329853,425280,200467,1536,PYRAMIDAL,1,2
2920462846,325143,120859,2432,PYRAMIDAL,1,3
28643309290,333269,95858,2304,INTERNEURON,0,2
69243710675,340852,254889,3840,PYRAMIDAL,1,4
31629535416,397651,192597,4096,PYRAMIDAL,1,2
30254836639,206195,143232,2816,INTERNEURON,0,5
6601551237,277547,248567,1408,PYRAMIDAL,1,5
30980242797,131743,168295,1536,PYRAMIDAL,1,6
4065635891,225641,161499,0,INTERNEURON,0,5
2557876210,370950,114123,2176,PYRAMIDAL,1,2
40463898619,335426,186430,3712,INTERNEURON,0,3
6120695418,261300,234368,3840,PYRAMIDAL,1,5
6210202826,326955,231879,1792,PYRAMIDAL,1,4
3301564762,384143,146753,128,PYRAMIDAL,1,2
39852993945,372595,142738,4608,PYRAMIDAL,1,2
41280517911,390438,244488,3200,PYRAMIDAL,1,3
6444779254,361451,227053,3968,PYRAMIDAL,1,3
38778725243,442885,137665,2304,INTERNEURON,0,1
5214106049,144109,183349,4224,PYRAMIDAL,1,6
7546351743,182765,262050,1536,PYRAMIDAL,1,7
41457205831,423861,228742,2048,PYRAMIDAL,1,2
4217352864,360560,170550,2816,PYRAMIDAL,1,3
61029539159,229305,273757,3200,PYRAMIDAL,1,7
4242190396,252639,171186,3200,PYRAMIDAL,1,5
73576264934,180435,117871,5248,INTERNEURON,0,4
5506548160,177062,198959,3328,PYRAMIDAL,1,6
3127608538,414405,164961,768,PYRAMIDAL,1,2
2427883788,395806,106197,1408,INTERNEURON,0,1
37581471804,335361,95548,2816,INTERNEURON,0,2
31737466934,142556,165642,3840,PYRAMIDAL,1,6
57673031743,418673,189922,3712,PYRAMIDAL,1,2
5482120683,296569,209227,640,PYRAMIDAL,1,4
37727291458,337834,105225,3456,INTERNEURON,0,2
4385455077,175798,162775,2432,PYRAMIDAL,1,5
32807689857,332931,245819,3584,PYRAMIDAL,1,4
3841130563,407954,175950,384,PYRAMIDAL,1,2
5177267753,330229,194157,128,INTERNEURON,0,4
29314182070,373276,114029,4352,PYRAMIDAL,1,2
41653383755,213650,225866,4736,INTERNEURON,0,6
5075176698,312609,190861,2560,PYRAMIDAL,1,4
32850237009,335690,224186,3456,PYRAMIDAL,1,4
37362894654,331461,91683,2816,INTERNEURON,0,2
29935146387,221750,134581,2432,PYRAMIDAL,1,4
