left_id,right_id,celltype,additional_annotations,level_7_cluster
16795838,16795524,PN,mPN; mPN iACT bilateral UPPER; Multiglomerular PN 1; mPN; olfactory 2nd_order PN; thermo-warm 2nd_order PN,10
10865025,4116174,DN-SEZ,FFN-39,10
3050645,15639548,sensory,gustatory-pharyngeal,11
3267019,15612241,sensory,gustatory-external,11
15728017,15640567,sensory,gustatory-pharyngeal,11
15730645,15914721,sensory,gustatory-pharyngeal,11
15730680,15618756,sensory,gustatory-external,11
1428271,15572414,sensory,gut,11
1432836,15564782,sensory,gut,11
3036249,15672957,sensory,gustatory-pharyngeal,11
15714173,15671481,sensory,gustatory-external,11
15675901,15615877,sensory,gustatory-external,11
15678833,3562954,sensory,gustatory-external,11
15995861,15445198,sensory,gustatory-pharyngeal,11
8021456,13589251,PN,33a PN; uPN; olfactory 2nd_order PN,12
7852250,8247451,PN,45a PN; uPN; olfactory 2nd_order PN,12
7843730,8140109,PN,74a PN; uPN; olfactory 2nd_order PN,12
4354933,14604028,PN,85c PN; uPN; olfactory 2nd_order PN,12
7864823,8245014,PN,59a PN; uPN; olfactory 2nd_order PN,12
8399890,4651929,PN,94a&94b PN; uPN; olfactory 2nd_order PN,12
16259595,8246081,PN,67b PN; uPN; olfactory 2nd_order PN,12
7865652,8248631,PN,22c PN; uPN; olfactory 2nd_order PN,12
7198338,8245869,PN,24a PN; uPN; olfactory 2nd_order PN,12
7865696,8252067,PN,1a PN; uPN; olfactory 2nd_order PN,12
7865767,8243455,PN,83a PN; uPN; olfactory 2nd_order PN,12
4493199,8244823,PN,13a PN; uPN; olfactory 2nd_order PN,12
7107433,8253413,PN,45b PN; uPN; olfactory 2nd_order PN,12
7873135,8245692,PN,42b PN; uPN; olfactory 2nd_order PN,12
7916593,8256186,PN,30a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,12
7934904,7935088,PN,35a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,12
3486381,8244723,PN,42a PN; uPN; olfactory 2nd_order PN,12
7515491,11279244,PN,49a PN; uPN; olfactory 2nd_order PN,12
7092417,8246750,PN,47a&33b PN; uPN; olfactory 2nd_order PN,12
7851153,8245146,PN,82a PN; uPN; olfactory 2nd_order PN,12
7845346,8245513,PN,63a PN; uPN; olfactory 2nd_order PN,12
1415168,945309,sensory,gut,13
19180425,15609427,sensory,gustatory-external,13
1924051,17698681,DN-SEZ,no official annotation,13
15725673,18785124,sensory,gustatory-pharyngeal,13
15680710,15629355,sensory,gustatory-external,13
15678441,15611642,sensory,gustatory-external,13
15674083,15611791,sensory,gustatory-external,13
2123422,2784471,ascending,mechano-Ch,14
11717014,21591037,pre-DN-VNC,no official annotation,14
11286854,8942413,PN-somato,mechano-Ch 2nd_order PN,14
5778133,21590958,pre-DN-VNC,no official annotation,14
17360286,17360225,pre-DN-VNC,no official annotation,14
16490014,1141813,PN-somato,noci 2nd_order PN,14
17729424,8821758,PN-somato,noci 2nd_order PN,14
12923749,10663559,pre-DN-SEZ,no official annotation,14
12367135,16666673,pre-DN-VNC,no official annotation,14
2910892,2885630,PN-somato,mechano-Ch 2nd_order PN,14
7766016,10937355,ascending,mechano-Ch,14
17729195,5545085,PN-somato,mechano-Ch 2nd_order PN,14
11105182,10158972,DN-SEZ,mPN,15
17356450,17355872,DN-SEZ,no official annotation,15
11195708,13968203,DN-SEZ,no official annotation,15
14437742,3806652,DN-SEZ,mPN,15
15998753,3192952,sensory,gustatory-pharyngeal,16
16588928,17355892,DN-SEZ,no official annotation,16
15984231,15567466,sensory,gut,16
15724385,15638968,sensory,gustatory-pharyngeal,16
15766999,18231999,sensory,gut,16
15983225,15587166,sensory,gut,16
7424178,15564882,sensory,gut,16
15984797,15564661,sensory,gut,16
15770945,17951153,sensory,gut,16
1435466,15546924,sensory,gut,16
15982306,15569561,sensory,gut,16
3709977,13789482,PN,Gustatory PN 2; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,17
no pair,4620453,LN,no official annotation,17
4985759,9291474,LN,Thermo PN 2,17
8012953,8254894,PN,Unknown PN 2; gustatory-external 2nd_order PN,17
18740553,3814635,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,17
12336493,4983938,PN,gustatory-external 2nd_order PN,17
11067379,4393049,PN,Gustatory PN 4; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,17
4154421,3690921,PN,Thermo PN 4; tPN; thermo-cold 2nd_order PN,17
3991518,9747710,PN,Thermo PN 3; tPN; thermo-cold 2nd_order PN,17
11333054,17884299,PN,Gustatory PN 1; gustatory-external 2nd_order PN,17
16014701,16574328,PN-somato,mechano-Ch 2nd_order PN,18
16485518,9621307,PN-somato,noci 2nd_order PN,18
11263687,6692908,PN-somato,noci 2nd_order PN,18
10982951,8697453,PN-somato,noci 2nd_order PN,18
20343986,2881070,PN-somato,noci 2nd_order PN,18
16595001,21591033,PN-somato,mechano-Ch 2nd_order PN,18
11719626,20278329,PN-somato,mechano-Ch 2nd_order PN,18
17360254,4393350,PN-somato,noci 2nd_order PN,18
12273754,17654624,PN-somato,noci 2nd_order PN,18
5755261,2846555,PN-somato,mechano-Ch 2nd_order PN,18
17464168,8641784,PN-somato,mechano-Ch 2nd_order PN,18
12367568,12884490,PN-somato,mechano-Ch 2nd_order PN,18
17224013,14759661,pre-DN-SEZ,no official annotation,18
17729020,15684934,PN-somato,mechano-Ch 2nd_order PN,18
9739780,3182103,pre-DN-SEZ,no official annotation,18
9508724,17541953,PN-somato,mechano-Ch 2nd_order PN,18
18656202,18655517,PN-somato,noci 2nd_order PN,18
19102929,15668869,PN-somato,mechano-Ch 2nd_order PN,18
19919566,1137946,PN-somato,mechano-Ch 2nd_order PN,18
21250110,9640873,ascending,noci,18
8529400,7449767,pre-DN-VNC,no official annotation,18
17223685,8880781,DN-VNC,no official annotation,18
16961482,10403609,PN-somato,mechano-Ch 2nd_order PN,18
11717001,10683313,PN-somato,mechano-Ch 2nd_order PN,18
10714526,2911847,PN-somato,mechano-Ch 2nd_order PN,18
17105977,8970595,PN-somato,noci 2nd_order PN,18
10929797,8198913,ascending,mechano-Ch,18
15669682,17658672,pre-DN-VNC,no official annotation,19
15586949,3180681,pre-DN-SEZ,no official annotation,19
17729410,9161929,PN-somato,noci 2nd_order PN,19
8005609,10852875,sensory,respiratory,20
8154054,858479,DN-SEZ,no official annotation,20
1400725,15561413,sensory,gut,20
9820270,15574328,sensory,gut,20
1405493,15548694,sensory,gut,20
1431256,9716858,sensory,gut,20
1392771,15563553,sensory,gut,20
1377586,15562137,sensory,gut,20
1375101,6883831,sensory,gut,20
19120772,891237,sensory,respiratory,20
1406463,15573450,sensory,gut,20
3795424,11291344,sensory,respiratory,20
9838294,15586536,sensory,gut,21
1391179,15573381,sensory,gut,21
1414206,15564807,sensory,gut,21
15769680,15575327,sensory,gut,21
7012280,4061049,sensory,respiratory,21
16911458,12178825,sensory,respiratory,21
12740290,2432564,PN,gut 2nd_order PN,21
4363883,5382876,sensory,respiratory,21
15770904,15543394,sensory,gut,21
15724175,15640724,sensory,gustatory-pharyngeal,21
7340629,7331555,sensory,respiratory,21
19017854,19037563,sensory,respiratory,21
7168356,11714576,pre-DN-VNC,no official annotation,22
11007420,16884962,DN-SEZ,no official annotation,22
8542422,8069432,PN,LHN-22; CN-58; gustatory-external 2nd_order PN,22
9119558,10990803,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22
8480221,4324898,PN,mPN; mPN seahorse; mPN; olfactory 2nd_order PN,22
9589146,7503199,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22
2612527,4391978,PN,mPN; Multiglomerular PN 3; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22
6451332,3538129,PN,mPN; mPN D; mPN; olfactory 2nd_order PN,22
2628785,4311586,PN,LHN-19; CN-55; gustatory-external 2nd_order PN,22
8349454,1591351,PN,FFN-30; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22
8704079,16735586,PN,mPN; mPN iACT B3; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22
17545695,14154154,pre-DN-SEZ,mPN,22
12225666,4327684,PN,mPN; FFN-21; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,22
17743170,13858824,PN,PN; gustatory-external 2nd_order PN,22
13849557,6143930,pre-DN-VNC,no official annotation,22
17844900,18598859,LN,no official annotation,22
3450442,4700078,PN,mPN; mPN iACT B2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,22
3450751,10160250,PN,mPN; Multiglomerular PN 5; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22
5261424,4679139,PN,mPN; mPN iACT A2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22
9971209,8812078,LN,no official annotation,22
3712893,11543212,PN,mPN; mPN iACT bilateral LOWER; Multiglomerular PN 2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22
11455472,8257672,ascending,unknown modality,23
8644484,14531828,ascending,mechano-Ch,23
12366224,19857577,pre-DN-VNC,no official annotation,23
10527147,7573476,DN-SEZ,no official annotation,23
10915553,11905911,DN-VNC,no official annotation,23
16303262,7627878,sensory,respiratory,23
3220616,16278312,ascending,unknown modality,23
4555763,5108525,ascending,noci,23
no pair,2552701,sensory,visual,23
5343578,7184082,ascending,mechano-Ch,23
17732270,6125806,DN-VNC,no official annotation,23
2816457,2619565,ascending,A00c_a5; noci,23
5080991,10959064,pre-DN-VNC,no official annotation,23
no pair,7555204,sensory,visual,23
8057753,10949030,ascending,unknown modality,23
no pair,7568455,sensory,visual,23
15679484,15610387,sensory,gustatory-external,24
no pair,15564706,sensory,gut,24
no pair,15574941,sensory,gut,24
19470184,3732322,DN-SEZ,no official annotation,24
no pair,9748269,sensory,gut,24
15690392,15615305,sensory,gustatory-external,24
992646,15599768,DN-SEZ,no official annotation,24
8216541,4541081,DN-SEZ,no official annotation,24
15715796,15606918,sensory,gustatory-external,24
1709802,15532105,sensory,gustatory-pharyngeal,24
15983156,16442344,sensory,gut,24
1429969,15543068,sensory,gut,24
17951049,10263287,DN-SEZ,no official annotation,24
8700125,7897051,LN,no official annotation,25
13422280,7589765,DN-VNC,no official annotation,25
no pair,8480418,LN,no official annotation,25
8118929,2775943,PN,Pdf-LaNs; visual 2nd_order PN,25
16087799,2775707,PN,Pdf-LaNs; visual 2nd_order PN,25
9927082,7874184,PN,Pdf-LaNs; visual 2nd_order PN,25
4108016,3002410,PN,Thermo PN 7; tPN; thermo-cold 2nd_order PN,25
3928652,12704360,RGN,no official annotation,25
2204467,2512602,PN,Pdf-LaNs; visual 2nd_order PN,25
17414715,8247641,LN,no official annotation,25
14338439,8805777,PN-somato,noci 2nd_order PN,26
4663875,11271082,pre-DN-VNC,no official annotation,26
15689046,8979434,pre-DN-SEZ,no official annotation,26
9822593,15023987,pre-DN-VNC,no official annotation,26
17729088,9637388,LHN,noci 2nd_order PN,26
5762666,17777259,LHN,noci 2nd_order PN; mechano-Ch 2nd_order PN,26
16472086,16433177,PN-somato,mechano-Ch 2nd_order PN,26
16594752,9530532,PN-somato,noci 2nd_order PN,26
5750884,20443420,PN-somato,Tel5; noci 2nd_order PN,27
20730780,9202326,PN-somato,noci 2nd_order PN,27
21220994,8229118,PN-somato,noci 2nd_order PN; mechano-Ch 2nd_order PN,27
15096548,13841523,pre-DN-VNC,no official annotation,27
9348984,2772093,pre-DN-VNC,no official annotation,27
14797760,15679639,PN-somato,mechano-Ch 2nd_order PN,27
6633635,9241349,PN-somato,noci 2nd_order PN; mechano-Ch 2nd_order PN,27
16059134,10725068,pre-DN-VNC,no official annotation,27
16059078,4130960,PN-somato,mechano-Ch 2nd_order PN,27
15587533,11029851,PN-somato,mechano-Ch 2nd_order PN,27
9481869,14762026,PN-somato,mechano-Ch 2nd_order PN,27
17165621,9422291,PN-somato,noci 2nd_order PN; mechano-Ch 2nd_order PN,27
16098538,8670503,LHN,no official annotation,28
4260935,3756659,PN,Thermo PN 5; tPN; thermo-cold 2nd_order PN,28
4279887,10293348,LHN,no official annotation,28
7582412,2776773,LN,no official annotation,28
7952981,8717219,PN,vPN; visual 2nd_order PN,28
9747418,4127707,LHN,no official annotation,28
8293958,3869488,PN,PN; tPN; gustatory-external 2nd_order PN; thermo-cold 2nd_order PN,28
4635057,7971031,LHN,Thermo PN 1; Thermo PN 6,28
4570270,2921933,LN,no official annotation,28
17962513,8842220,LHN,no official annotation,28
12948470,9275210,LN,Thermo PN 1; Thermo PN 6,28
19611917,8138616,LHN,no official annotation,28
4926999,21664445,LN,no official annotation,28
4636432,9808146,LN,no official annotation,28
17244655,17360593,LHN,no official annotation,28
17776906,4101295,LN,no official annotation,28
12745771,2914206,LHN,no official annotation,28
5959820,8943485,pre-DN-SEZ,no official annotation,28
5289042,9291938,LHN,no official annotation,28
12156009,7020344,PN,Gustatory PN 3; gustatory-external 2nd_order PN,28
8509534,16515871,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,29
16444327,no pair,KC,KC,30
16627861,no pair,KC,KC,30
16630385,no pair,KC,KC,30
no pair,9766793,KC,KC,30
no pair,7868195,KC,KC,30
11691603,4444354,KC,KC,30
8262503,no pair,KC,KC,30
no pair,5836206,KC,KC,30
16435965,no pair,KC,KC,30
no pair,10056280,KC,KC,30
11725803,8066542,KC,KC,30
14898816,4230739,KC,KC,30
11725127,4230061,KC,KC,30
15721919,no pair,KC,KC,30
no pair,16850888,KC,KC,30
no pair,5836197,KC,KC,30
4518546,no pair,KC,KC,30
no pair,4227304,KC,KC,30
16629788,7786053,KC,KC,30
16630264,5836163,KC,KC,30
15722867,9609048,KC,KC,30
16631114,9556700,KC,KC,30
16058860,11813287,KC,KC,30
4412315,3347708,KC,KC,30
16630941,5835799,KC,KC,30
16039470,4241192,KC,KC,30
4411505,no pair,KC,KC,30
4412036,no pair,KC,KC,30
16627838,8413663,KC,KC,30
no pair,5836035,KC,KC,30
8262302,5051342,KC,KC,30
no pair,5019924,KC,KC,30
16977881,9796812,KC,KC,30
5937084,8850802,KC,KC,30
8687096,9643439,pre-DN-VNC,no official annotation,31
15718981,1591270,pre-DN-VNC,no official annotation,31
5708994,17654617,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,31
9488991,5585799,LHN,no official annotation,31
4664256,17326218,PN-somato,noci 2nd_order PN,31
12121795,11788830,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,31
4393026,16131474,LHN,no official annotation,31
15517247,16335254,pre-DN-VNC,no official annotation,31
9940382,8124177,PN,vPN; visual 2nd_order PN,31
8347613,8349553,LHN,no official annotation,31
5688091,5038920,DN-SEZ,no official annotation,31
3650006,15829660,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,31
17354392,15636958,pre-DN-SEZ,no official annotation,31
11934107,3844961,PN,gustatory-external 2nd_order PN,31
12498338,3913629,LHN,LHN-14; CN-50,32
2568465,10167078,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,32
12476851,16070049,LHN,CN-1,32
17434825,16485079,LN,Multiglomerular PN 4; LHN-11; CN-47,32
11782821,3913613,LN,no official annotation,32
9567051,9539868,PN,vPN; visual 2nd_order PN,32
5453333,13803032,LHN,LHN-15; CN-51,32
8037197,17822238,LN,CN-2,32
9447255,16295025,LN,LHN-6,32
7982896,8177199,LHN,no official annotation,32
16486385,11178891,LN,LHN-10; CN-46,32
8276782,4119387,PN,mPN; Multiglomerular PN 7; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,32
8340950,8270683,PN,vPN; visual 2nd_order PN,32
4665186,17671219,LN,LHN-13; CN-49,32
14333495,13858797,LHN,LHN-9; CN-45,32
14319185,8565131,LHN,LHN-21; CN-57,32
18566501,15588389,LHN,no official annotation,32
16438190,no pair,KC,KC,33
16210988,no pair,KC,KC,33
14898295,no pair,KC,KC,33
16629757,no pair,KC,KC,33
14522124,no pair,KC,KC,33
16629931,no pair,KC,KC,33
14519048,no pair,KC,KC,33
16440649,no pair,KC,KC,33
16627773,no pair,KC,KC,33
no pair,9531722,KC,KC,33
9983191,no pair,KC,KC,33
no pair,5835815,KC,KC,33
no pair,5836387,KC,KC,33
no pair,4414426,KC,KC,33
no pair,7690945,KC,KC,33
no pair,7828725,KC,KC,33
no pair,7829784,KC,KC,33
no pair,7840203,KC,KC,33
no pair,7891312,KC,KC,33
8177991,no pair,KC,KC,33
3819157,no pair,KC,KC,33
no pair,3587612,KC,KC,33
8263140,no pair,KC,KC,33
8263285,no pair,KC,KC,33
no pair,8274902,KC,KC,33
8513389,no pair,KC,KC,33
8865199,no pair,KC,KC,33
no pair,8891315,KC,KC,33
no pair,9525492,KC,KC,33
no pair,5836181,KC,KC,33
no pair,9809626,KC,KC,33
no pair,9813188,KC,KC,33
no pair,9889095,KC,KC,33
14460113,no pair,KC,KC,33
6704232,8559607,KC,KC,33
no pair,9897223,KC,KC,34
17147410,no pair,KC,KC,34
3820148,2920554,LN,PL-5,35
15639216,15639331,pre-DN-SEZ,no official annotation,35
2979486,9585145,LHN,no official annotation,35
11853038,12842593,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,35
16316916,5592307,PN,FFN-37; gustatory-pharyngeal 2nd_order PN,35
5053417,16188942,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,35
11656349,16297403,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,35
5744058,4128002,PN-somato,noci 2nd_order PN,35
4117305,16720240,KC,KC,36
8348277,18302665,pre-DN-VNC,no official annotation,37
11986594,6218461,PN,gustatory-external 2nd_order PN,37
5606265,19718010,ascending,unknown modality,37
16141217,13722516,LHN,no official annotation,37
12387154,8723267,LHN,no official annotation,38
4398543,17380092,CN,no official annotation,38
16494105,4108720,LHN,no official annotation,38
9201911,17591687,LHN,no official annotation,38
10958210,17671375,pre-DN-SEZ,no official annotation,38
16474159,9291437,LHN,no official annotation,38
14461238,18292832,LHN,no official annotation,38
6494274,13986583,LHN,LHN-1,38
11193510,3930411,LHN,no official annotation,38
11146422,19276024,PN,gustatory-external 2nd_order PN,38
11144258,9800178,LN,no official annotation,38
14450919,18220289,LHN,no official annotation,38
9421292,5507096,LHN,no official annotation,38
14514597,13986477,LHN,LHN-5,38
10955244,11248536,LHN,no official annotation,38
8755914,8741619,DN-VNC,no official annotation,38
12424328,16457812,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,38
15686444,15638932,pre-DN-VNC,no official annotation,38
17420035,8705088,LHN,no official annotation,38
19051762,17913032,pre-DN-VNC,no official annotation,38
7313896,8135412,MB-FFN,FFN-19,38
4778745,4319395,LHN,no official annotation,38
3814701,9761454,DN-SEZ,no official annotation,38
16409132,17896997,LHN,no official annotation,38
8111135,7555968,PN,Vision PN 1; vPN; visual 2nd_order PN,38
12425856,13173311,PN,gustatory-pharyngeal 2nd_order PN,38
