skid,celltype,axonIO_ratio
8199671,LN,0.262931034
5973097,pre-DN-SEZ,0.262745098
5935744,pre-DN-VNC,0.262569832
17574013,pre-DN-VNC,0.262295082
17166682,LHN,0.261904762
12740290,PN,0.261904762
16868923,MBON,0.261780105
9747418,LHN,0.261146497
8542422,PN,0.26097561
15568333,CN,0.26056338
10964258,pre-DN-VNC,0.260526316
14999928,pre-DN-VNC,0.260273973
10317031,pre-DN-VNC,0.260273973
17086412,pre-DN-VNC,0.26
4152272,MB-FBN,0.259803922
8293958,PN,0.259701493
18655517,PN-somato,0.259493671
16635345,pre-DN-VNC,0.259493671
5805651,pre-DN-VNC,0.259459459
8710444,pre-DN-VNC,0.259433962
10702736,CN,0.259036145
4433960,CN,0.258992806
12356747,MB-FFN,0.258928571
18080008,pre-DN-VNC,0.258928571
10234576,pre-DN-VNC,0.257142857
13722516,LHN,0.256880734
8451818,CN,0.256716418
16848475,MB-FBN,0.25625
4778745,LHN,0.256097561
14758420,LN,0.255681818
16445338,pre-DN-VNC,0.255060729
8801736,pre-DN-VNC,0.254752852
9085808,pre-DN-VNC,0.254545455
10209260,MB-FBN,0.253731343
17110007,pre-DN-VNC,0.253333333
14260575,MB-FBN,0.252918288
14617508,pre-DN-VNC,0.252083333
16931001,pre-DN-VNC,0.251798561
17813006,CN,0.251533742
17177005,MB-FBN,0.251046025
3928522,RGN,0.25
17150791,MB-FBN,0.25
13833814,DN-SEZ,0.25
18527962,DN-VNC,0.25
8310087,LHN,0.249180328
17356450,DN-SEZ,0.248756219
16444552,CN,0.248704663
8711574,LHN,0.24863388
7540581,MB-FBN,0.248427673
10809383,MB-FBN,0.248081841
3806573,LN,0.247232472
17755491,pre-DN-VNC,0.246575342
9083312,MB-FBN,0.245977011
6188181,pre-DN-VNC,0.245833333
17732256,DN-VNC,0.245098039
16444544,LHN,0.244897959
4185530,PN-somato,0.244755245
11826171,LHN,0.244565217
16586265,DN-SEZ,0.244444444
8974428,LHN,0.244274809
13714311,pre-DN-VNC,0.243902439
17177115,MB-FFN,0.242647059
4636432,LN,0.242424242
3926904,RGN,0.242424242
10543751,CN,0.242320819
12398622,MB-FBN,0.242152466
10059655,DN-SEZ,0.241758242
16851577,DN-VNC,0.24137931
16383966,pre-DN-VNC,0.241176471
10427055,LHN,0.241071429
15706875,pre-DN-VNC,0.241025641
16468935,pre-DN-VNC,0.240112994
10728318,DN-VNC,0.24
2655798,DN-SEZ,0.24
2432564,PN,0.24
17660233,pre-DN-VNC,0.24
5856647,pre-DN-VNC,0.239631336
14588375,DN-VNC,0.239583333
17109286,pre-DN-SEZ,0.239316239
17336347,PN-somato,0.239130435
14071449,CN,0.238866397
3690921,PN,0.238341969
10885466,pre-DN-VNC,0.238095238
7569260,DN-VNC,0.238095238
13836327,CN,0.238095238
10240382,pre-DN-VNC,0.237113402
16098538,LHN,0.236842105
4103336,MB-FBN,0.236607143
6049565,pre-DN-VNC,0.236453202
17360296,LN,0.236263736
5010581,DN-VNC,0.236111111
17019327,CN,0.235474006
16594509,MB-FBN,0.235294118
9604434,pre-DN-VNC,0.234636872
16385470,MB-FFN,0.234256927
4188290,DN-VNC,0.23364486
4847079,pre-DN-VNC,0.233333333
17013073,MBON,0.233183857
9527522,MB-FBN,0.232876712
19271710,LN,0.232876712
3149791,pre-DN-VNC,0.232876712
12138418,LHN,0.232824427
17587734,DN-SEZ,0.23255814
15672263,DN-VNC,0.232365145
2914206,LHN,0.232323232
17036132,PN,0.232258065
2439134,LHN,0.232209738
11468088,pre-DN-VNC,0.231884058
8813113,LHN,0.231884058
17355872,DN-SEZ,0.231638418
16433177,PN-somato,0.231481481
14492880,pre-DN-VNC,0.231428571
15741865,MB-FBN,0.231111111
18142558,LHN,0.231092437
10238739,pre-DN-VNC,0.230769231
4926999,LN,0.230769231
6611100,CN,0.23024055
6554358,DN-SEZ,0.230215827
18106257,PN-somato,0.230046948
8310955,LHN,0.22983871
15096548,pre-DN-VNC,0.22962963
17844900,LN,0.229411765
16561224,DN-SEZ,0.229357798
8229118,PN-somato,0.229249012
14077615,MB-FBN,0.228021978
16100461,LHN,0.226993865
11073313,pre-DN-VNC,0.226666667
13736919,DN-VNC,0.226666667
12367568,pre-DN-VNC,0.2265625
11216417,CN,0.226361032
9519425,pre-DN-VNC,0.226315789
16442113,LHN,0.226130653
8070872,pre-DN-SEZ,0.225806452
3805641,LN,0.225352113
14073503,CN,0.225165563
17031293,PN-somato,0.22513089
15607335,pre-DN-SEZ,0.225
19017386,pre-DN-VNC,0.225
15605301,pre-DN-SEZ,0.224852071
17867309,pre-DN-SEZ,0.224806202
17850822,pre-DN-SEZ,0.224637681
4311586,PN,0.224576271
8752697,MB-FBN,0.224550898
16545101,pre-DN-VNC,0.224489796
8877795,LN,0.224390244
4017464,pre-DN-VNC,0.224137931
11306294,pre-DN-VNC,0.223684211
17165711,MB-FBN,0.22327044
9291437,LHN,0.223140496
5691934,PN-somato,0.222996516
4108016,PN,0.222797927
11639192,DN-SEZ,0.222727273
13313410,DN-SEZ,0.222222222
18058644,PN-somato,0.222222222
17276867,CN,0.221884498
8698941,LHN,0.221789883
5669107,CN,0.221621622
7371184,pre-DN-VNC,0.22147651
15023987,pre-DN-VNC,0.221198157
4319395,LHN,0.220930233
16350988,pre-DN-VNC,0.220472441
3650006,PN,0.220338983
7065182,LN,0.22
7025831,pre-DN-VNC,0.21978022
9612903,pre-DN-SEZ,0.219409283
17176911,CN,0.219409283
11871574,CN,0.219354839
10411574,DN-VNC,0.219354839
17975547,pre-DN-VNC,0.219298246
16714214,pre-DN-VNC,0.219047619
17639784,CN,0.21875
17358864,DN-SEZ,0.218604651
11600886,CN,0.218518519
17360282,pre-DN-VNC,0.218487395
17740547,DN-SEZ,0.217948718
2797480,pre-DN-VNC,0.217821782
3797420,DN-SEZ,0.217777778
4598363,MBON,0.217391304
16444758,pre-DN-SEZ,0.217391304
16852421,pre-DN-VNC,0.216901408
17728922,DN-SEZ,0.216666667
13803032,LHN,0.216666667
8111135,PN,0.216666667
8252067,PN,0.216666667
2966602,MB-FBN,0.216617211
15995958,pre-DN-VNC,0.216216216
18098174,MB-FFN,0.215976331
4408397,MB-FBN,0.215419501
17654514,DN-VNC,0.215384615
10198121,PN-somato,0.215189873
5091874,MB-FBN,0.215189873
5738449,MB-FBN,0.214912281
2667061,CN,0.214814815
5592307,PN,0.214532872
2283495,RGN,0.214285714
6609380,pre-DN-VNC,0.214035088
7057730,pre-DN-VNC,0.213675214
9428865,pre-DN-VNC,0.213615023
5559657,DN-SEZ,0.213592233
4102413,LN,0.213414634
14461238,LHN,0.213414634
8227502,DN-SEZ,0.213333333
17777981,pre-DN-VNC,0.213286713
10163418,MBON,0.213068182
8712361,MB-FBN,0.212389381
16851718,pre-DN-VNC,0.212290503
13950464,PN-somato,0.211382114
15568134,pre-DN-SEZ,0.210909091
17448356,pre-DN-VNC,0.210526316
2920554,LN,0.210526316
17323054,pre-DN-VNC,0.209486166
9409359,CN,0.209150327
15732497,pre-DN-VNC,0.209039548
16937395,pre-DN-VNC,0.208955224
16947349,pre-DN-VNC,0.208333333
10955244,LHN,0.208333333
5790355,pre-DN-VNC,0.207446809
4849988,PN-somato,0.207171315
8069478,LHN,0.207084469
16713227,DN-SEZ,0.206896552
8245146,PN,0.206896552
18545747,pre-DN-VNC,0.206790123
16059134,pre-DN-VNC,0.206703911
17177103,MB-FFN,0.206703911
11905911,DN-VNC,0.20661157
5934511,MB-FBN,0.20657277
17473163,DN-VNC,0.206185567
6623089,pre-DN-VNC,0.20610687
11257084,LHN,0.205724508
16952642,DN-VNC,0.205479452
16547268,pre-DN-SEZ,0.205357143
2557644,DN-SEZ,0.205298013
3945136,pre-DN-VNC,0.205128205
15601640,pre-DN-SEZ,0.204678363
4099900,LHN,0.204379562
15018449,pre-DN-VNC,0.203883495
4227880,pre-DN-VNC,0.203821656
9234420,DN-SEZ,0.203703704
10293348,LHN,0.203296703
10946002,CN,0.203252033
11409587,CN,0.203225806
5893912,pre-DN-VNC,0.203208556
15548844,DN-VNC,0.20242915
9856062,pre-DN-VNC,0.202247191
16651566,pre-DN-VNC,0.20212766
5453333,LHN,0.201863354
12670738,MB-FFN,0.201834862
5038920,DN-SEZ,0.201754386
17437725,LHN,0.201754386
11464638,CN,0.201550388
16950121,PN-somato,0.201492537
18058793,DN-VNC,0.201149425
10982951,PN-somato,0.200956938
17434825,LN,0.200764818
13858797,LHN,0.200626959
17000062,pre-DN-VNC,0.2
4173633,pre-DN-VNC,0.2
3727004,RGN,0.2
17756162,pre-DN-SEZ,0.198675497
16676038,DN-SEZ,0.197628458
8052161,MB-FBN,0.197530864
9351843,pre-DN-SEZ,0.197452229
8391330,DN-VNC,0.197368421
7025064,pre-DN-VNC,0.197080292
9161929,PN-somato,0.196581197
17654634,LN,0.195767196
4067286,LHN,0.195599022
4228105,pre-DN-VNC,0.195121951
15606239,pre-DN-SEZ,0.194805195
11003551,PN-somato,0.194444444
11003660,MB-FBN,0.194092827
13206239,LHN,0.19379845
5052370,DN-VNC,0.193726937
12745771,LHN,0.192982456
16987409,MB-FBN,0.192825112
16685117,pre-DN-VNC,0.19266055
2776773,LN,0.192307692
5291791,LN,0.192224622
15253921,MBON,0.192156863
15513540,pre-DN-VNC,0.19205298
17176767,LN,0.191950464
7227010,DN-VNC,0.191919192
6298455,pre-DN-VNC,0.191709845
11524047,MBON,0.191570881
6702943,DN-SEZ,0.191489362
8717219,PN,0.191489362
3862443,PN-somato,0.191489362
9808146,LN,0.191011236
16424131,DN-SEZ,0.191011236
16318521,PN,0.190735695
8792477,MB-FBN,0.19047619
14333495,LHN,0.19047619
10958210,pre-DN-SEZ,0.190217391
3762317,DN-SEZ,0.190082645
17466463,pre-DN-VNC,0.190082645
15672269,pre-DN-VNC,0.190045249
16422727,pre-DN-VNC,0.19
5118060,LHN,0.189944134
11157622,PN,0.189655172
1805418,pre-DN-SEZ,0.189473684
16578252,pre-DN-VNC,0.189427313
17641913,LHN,0.189393939
16422744,pre-DN-VNC,0.189393939
2369444,LHN,0.189233279
3913629,LHN,0.189189189
10875625,LHN,0.188630491
3913620,CN,0.1886121
9074101,MBON,0.1886121
8802069,MB-FFN,0.187969925
4514494,MB-FBN,0.187878788
17762417,pre-DN-SEZ,0.1875
16666673,pre-DN-VNC,0.1875
16961482,PN-somato,0.1875
17728571,DN-SEZ,0.1875
18695745,DN-SEZ,0.1875
20443501,pre-DN-VNC,0.1875
16223537,MBON,0.187431092
17300165,MB-FBN,0.187380497
6218461,PN,0.187165775
18464581,DN-VNC,0.186695279
13197236,LN,0.186440678
11876076,pre-DN-VNC,0.186046512
6494274,LHN,0.185929648
21591037,pre-DN-VNC,0.185840708
8154054,DN-SEZ,0.185628743
9154024,pre-DN-VNC,0.185520362
11135340,LN,0.185082873
9643439,pre-DN-VNC,0.184684685
18656202,PN-somato,0.184615385
3932136,LHN,0.184501845
18062678,LN,0.184466019
10382824,pre-DN-VNC,0.184466019
9971209,LN,0.183673469
17016974,MBON,0.183673469
14338439,PN-somato,0.183574879
3157405,MB-FBN,0.183529412
11248536,LHN,0.183333333
14034311,DN-SEZ,0.182608696
17658948,pre-DN-VNC,0.182432432
17360262,LN,0.182291667
16463097,DN-SEZ,0.181818182
16051878,pre-DN-SEZ,0.181818182
5500958,DN-VNC,0.181818182
17176808,MB-FFN,0.181481481
12474815,pre-DN-VNC,0.18128655
13028455,pre-DN-VNC,0.180952381
7429933,pre-DN-VNC,0.180904523
14434314,LHN,0.18079096
2659504,pre-DN-VNC,0.18079096
16260741,LHN,0.180672269
15638906,pre-DN-VNC,0.180645161
11013351,LN,0.18061674
12884490,pre-DN-VNC,0.180327869
13370624,pre-DN-VNC,0.180327869
10263287,DN-SEZ,0.18
17729195,PN-somato,0.18
13652117,DN-VNC,0.179775281
20421224,pre-DN-VNC,0.179310345
17435815,pre-DN-VNC,0.179012346
5900426,DN-VNC,0.178571429
16797672,MBON,0.178423237
7422253,pre-DN-VNC,0.178217822
4127926,pre-DN-VNC,0.178010471
13038489,LHN,0.177935943
10248031,pre-DN-VNC,0.177514793
14638686,pre-DN-VNC,0.177419355
17176866,PN,0.177339901
2979486,LHN,0.177142857
17425996,PN-somato,0.177011494
