id,x,y,z,type,excitation_type
7340629,62764.756,77709.287,120687.524,sensory,1
7371184,38270.066,42501.001,42564.878,pre-DN-VNC,3
7388340,76233.028,31931.803,49357.508,pre-DN-SEZ,3
7394271,76097.705,58388.408,41362.390,LN,0
7421507,28647.431,24755.735,42651.082,MB-FFN,1
7422253,23015.412,29721.775,42920.767,pre-DN-VNC,3
7422595,27606.267,25386.717,40904.144,UNKNOWN,1
7424178,65748.820,69550.912,36586.549,sensory,1
7429933,23032.521,30969.765,46897.063,pre-DN-VNC,3
7431625,26514.507,24436.698,38698.063,LHN,2
7439909,70177.658,63903.007,38456.234,sensory,1
7439913,73187.842,65711.743,58768.023,DN-VNC,1
7449767,31075.939,38807.098,50180.865,pre-DN-VNC,3
7467027,21389.650,29051.700,46530.158,pre-DN-VNC,3
7476468,64578.458,25715.651,43382.750,RGN,1
7480731,95942.500,59519.181,52814.609,sensory,1
7483922,95655.338,58289.287,54943.450,sensory,1
7485368,12447.383,51859.676,48531.337,sensory,1
7503199,33034.029,51426.467,46495.853,PN,1
7515491,76234.358,41664.825,48458.070,PN,1
7527710,78318.866,62487.802,35151.734,sensory,1
7529574,49583.978,20360.245,37326.665,RGN,1
7530253,49762.200,21257.817,37053.166,RGN,1
7540581,75437.348,49706.583,47634.693,MB-FBN,3
7542938,80078.832,65092.251,33041.232,sensory,1
7555204,11843.280,54226.061,44843.304,sensory,1
7555968,20393.982,32196.393,64617.278,PN,1
7556564,65947.282,78133.317,48998.600,sensory,1
7557604,73033.640,23389.752,43627.618,pre-DN-VNC,3
7563413,29462.785,59765.959,42372.199,LN,0
7566199,12459.394,52367.220,48030.339,sensory,1
7568455,12535.504,53548.080,45442.453,sensory,1
7569260,49834.728,56672.274,99021.725,DN-VNC,1
7571966,57734.119,70904.875,102245.457,DN-VNC,1
7573476,37804.369,36369.995,45545.186,DN-SEZ,0
7574701,29502.015,45008.275,49245.935,MB-FBN,3
7582412,83362.533,26519.927,65466.120,LN,0
7582489,76255.223,24835.849,53638.372,LHN,2
7587948,34206.368,47421.418,67038.132,DN-VNC,1
7589765,42401.693,41664.835,67112.769,DN-VNC,1
7590264,45702.573,38986.994,49530.900,DN-VNC,1
7594047,46056.959,27174.345,39121.812,MB-FBN,3
7600311,30055.186,57338.214,38035.919,LN,0
7612147,34244.897,26360.632,42904.184,LHN,2
7616956,29842.158,22655.534,35717.393,MBIN,1
7627878,47827.525,71435.874,89255.935,sensory,1
7658146,25890.774,60498.924,32830.735,sensory,1
7688300,29946.679,21964.105,43196.649,pre-DN-VNC,3
7690945,30434.007,25650.178,45350.359,KC,1
7692008,29445.828,24531.185,43395.627,UNKNOWN,1
7694589,90115.425,45372.846,73108.930,LN,0
7700444,53555.705,42763.442,44306.197,pre-DN-VNC,3
7719118,31771.613,36135.352,52483.280,LHN,2
7719547,24538.120,61770.375,30857.279,sensory,1
7766016,47880.456,71016.908,110319.086,ascending,1
7778722,12296.155,51593.456,48705.650,sensory,1
7786053,32636.792,28382.643,39205.591,KC,1
7802210,52107.811,30479.845,34379.446,MBON,2
7807684,40224.930,23997.248,38523.510,UNKNOWN,1
7828725,32097.909,25580.662,42263.959,KC,1
7829784,30594.723,25709.474,44161.208,KC,1
7838405,30306.265,25970.199,43936.709,KC,1
7840203,29825.206,27097.769,44518.967,KC,1
7840791,29624.956,22979.086,34287.140,MBON,2
7843730,75495.581,47437.023,48370.770,PN,1
7845346,77433.209,43580.059,46411.354,PN,1
7851153,74714.561,41476.583,45151.181,PN,1
7852250,75594.867,41894.403,48171.911,PN,1
7864823,76194.669,39661.644,48618.694,PN,1
7865652,77330.419,41688.320,48119.229,PN,1
7865696,73145.385,40277.980,47761.521,PN,1
7865767,74315.788,44695.525,46338.851,PN,1
7868195,28197.041,27396.959,41226.717,KC,1
7873135,76749.907,44096.905,47761.454,PN,1
7874184,18378.852,29743.973,61874.365,PN,1
7891312,31272.114,24626.060,43826.614,KC,1
7897051,15356.939,38951.039,70595.501,LN,0
7897469,28671.076,34211.639,35569.095,MBON,2
7901791,64404.215,26426.991,40781.651,MBIN,1
7910624,78518.260,35723.439,43495.922,MBON,2
7916593,77226.274,46278.911,47515.751,PN,1
7934904,55638.956,55507.480,49182.997,PN,1
7935088,48609.743,53362.930,49810.382,PN,1
7939890,77891.279,59533.579,39903.045,LN,0
7939979,77459.613,59382.833,39756.295,LN,0
7941642,77557.510,59097.841,39681.907,LN,0
7941652,78151.738,59697.542,39731.244,LN,0
7952981,86952.615,37642.969,69629.424,PN,1
7955278,69778.619,52600.623,61192.793,DN-SEZ,0
7962986,27194.626,21559.910,45573.541,UNKNOWN,1
7971031,22348.761,22031.044,55996.748,LHN,2
7977834,30201.228,21010.411,45383.895,LHN,2
7980189,40500.841,30105.393,31558.709,CN,2
7980369,46761.334,33111.599,30747.045,MB-FBN,3
7982307,40166.269,47348.611,76580.999,DN-VNC,1
7982324,31561.295,44946.493,52140.841,DN-SEZ,0
7982896,49687.881,27304.106,58513.693,LHN,2
7983899,78621.604,24159.586,46443.014,MBIN,1
8005609,59985.997,74594.488,88916.529,sensory,1
8007556,45168.627,56831.467,51916.983,MB-FFN,1
8012953,71429.238,45526.974,50611.322,PN,1
8019816,46241.585,38690.988,39418.250,MB-FBN,3
8021456,77894.931,47676.983,47786.078,PN,1
8025665,53892.903,43264.627,43641.918,pre-DN-VNC,3
8034919,36292.415,22882.226,40104.425,LHN,2
8037197,81452.508,33631.093,64531.076,LN,0
8047280,66351.326,64993.967,88602.021,DN-VNC,1
8052161,81377.310,48121.425,44435.617,MB-FBN,3
8055671,68427.797,82384.069,46754.963,sensory,1
8057753,50109.635,76947.956,112301.156,ascending,1
8059283,57752.908,75932.457,105107.225,ascending,1
8065380,21009.321,29107.172,51509.877,UNKNOWN,1
8065771,36594.895,30497.546,48165.345,LHN,2
8066542,32683.106,28127.811,37241.008,KC,1
8068173,30369.988,28259.928,41988.785,KC,1
8069365,43202.013,29994.494,51452.032,LHN,2
8069432,32779.900,38778.938,48569.241,PN,1
8069478,41479.942,26674.767,52672.207,LHN,2
8070872,63240.821,37269.789,56908.628,pre-DN-SEZ,3
8075484,42318.664,24039.293,30292.554,LN,0
8078096,76520.913,31346.446,41191.471,MB-FBN,3
8094859,25674.583,31195.073,49985.333,MBON,2
8102935,75902.780,59210.672,39637.716,LN,0
8111135,84720.688,38963.183,70011.679,PN,1
8118474,77412.842,31436.620,50901.046,KC,1
8118929,88393.949,39230.453,70995.733,PN,1
8118947,73428.009,30262.727,40454.832,MB-FBN,3
8124177,18277.928,36307.480,67402.558,PN,1
8127390,37465.387,30628.453,49600.471,pre-DN-VNC,3
8132513,43070.550,38666.016,38285.320,UNKNOWN,1
8135412,58439.179,68417.146,70477.882,MB-FFN,1
8138616,23145.170,18708.460,54309.086,LHN,2
8140109,30474.533,42885.387,44147.388,PN,1
8142831,57705.507,34856.311,54987.067,pre-DN-VNC,3
8154054,62775.056,72159.015,46329.871,DN-SEZ,0
8159396,34275.704,61633.174,45192.769,DN-SEZ,0
8161142,28614.002,39772.074,37814.626,pre-DN-VNC,3
8161148,30236.332,40202.548,39255.146,pre-DN-VNC,3
8167696,82784.603,33766.694,53456.396,pre-DN-VNC,3
8177199,62655.347,28978.659,58126.434,LHN,2
8177991,74290.031,28411.481,54356.768,KC,1
8184598,35996.392,29975.377,40425.066,CN,2
8193545,21346.996,29481.030,50621.660,UNKNOWN,1
